StudyHours,SleepHours,SocialMediaHours,ExerciseHours,PlayHours,AttendancePercentage,PreviousMarks,AttentionLevel,TestMarks
8.1,7.9,4.4,1.2,1.8,89.2,69.4,6.8,78.5
5.7,6.9,3.2,0.9,0.3,81.3,79.8,5.3,70.4
4.5,7.3,3.3,0.8,0.3,85.4,70.4,4.5,62.1
4.1,6.7,1.9,0.9,2.3,82.0,67.8,4.8,59.0
4.5,7.9,2.5,0.7,2.3,90.9,71.5,4.9,65.7
5.3,6.4,3.3,0.0,1.9,82.2,83.3,4.2,58.4
2.7,6.9,2.7,1.4,0.9,96.3,74.0,3.9,63.7
6.2,7.8,4.4,1.0,1.3,85.0,70.6,4.4,66.4
5.6,8.2,2.3,0.2,1.2,83.2,81.8,5.0,78.6
5.6,6.5,1.9,1.5,0.8,89.6,64.8,5.5,70.8
5.2,9.0,3.3,0.5,1.7,87.9,40.0,5.3,49.7
4.5,7.3,1.0,0.7,3.0,89.8,74.5,5.7,74.6
5.5,6.0,3.6,1.3,1.2,83.9,74.4,4.2,62.5
5.4,7.4,0.9,0.9,2.4,95.7,63.8,5.6,79.4
4.0,6.6,3.3,1.5,0.9,92.9,67.3,4.1,60.1
3.6,7.4,1.7,0.6,0.4,84.9,82.6,5.2,78.3
4.7,7.0,3.1,1.6,2.2,91.6,74.5,4.7,62.7
6.8,7.1,3.6,0.4,1.3,82.9,84.7,4.5,75.4
2.6,6.1,2.7,1.5,2.4,89.6,72.7,3.3,59.2
2.3,8.0,1.1,0.0,2.5,91.6,68.5,3.1,55.4
4.7,5.8,1.4,0.2,1.3,87.0,77.1,4.5,63.3
4.6,5.9,1.6,0.9,2.4,78.4,73.7,3.6,62.4
4.8,7.4,0.2,0.6,0.9,75.5,74.4,5.7,62.4
4.9,8.6,3.9,0.8,0.9,87.3,67.7,4.9,60.3
4.2,6.6,2.6,0.8,2.3,79.2,64.3,3.9,57.4
6.7,7.7,1.1,0.2,0.4,93.4,64.7,7.2,87.0
2.1,8.1,4.2,0.2,1.5,72.9,75.2,2.5,47.4
3.3,7.8,1.7,0.9,2.4,95.5,76.5,4.0,62.8
4.3,6.7,2.8,0.5,2.4,85.4,43.7,4.5,52.9
2.0,5.9,1.5,1.5,1.2,78.2,62.7,3.6,48.7
4.2,4.8,0.1,0.7,2.2,81.4,54.1,5.3,69.0
7.0,6.7,0.9,1.2,0.7,83.4,65.0,7.2,73.6
4.5,8.2,2.0,1.0,1.0,88.9,64.0,5.6,63.0
4.8,5.9,3.6,0.5,1.7,75.2,71.5,3.1,50.4
2.6,7.7,2.9,0.0,1.8,77.3,71.9,3.6,56.1
3.6,6.0,2.7,1.4,0.8,82.4,91.3,3.6,71.7
3.9,7.1,0.1,0.3,2.8,84.8,73.7,5.7,73.9
4.0,7.7,4.0,0.6,0.2,90.7,76.4,4.8,66.8
6.4,6.3,2.8,0.7,1.5,87.2,55.8,5.8,67.4
5.3,7.2,2.4,0.8,1.6,81.9,66.7,5.3,70.0
2.8,6.6,3.9,1.3,0.3,86.9,59.2,2.8,45.0
4.9,7.7,4.0,0.8,2.4,86.3,76.0,4.0,60.6
5.2,7.2,3.9,0.7,1.0,83.0,70.5,3.2,60.2
6.2,7.1,2.2,1.3,1.6,85.9,66.6,5.9,73.7
6.9,8.6,1.3,1.1,1.7,67.8,79.6,7.0,88.7
3.0,7.7,3.7,0.4,0.5,92.5,67.3,3.3,58.9
3.3,6.3,0.9,0.2,0.7,89.4,83.3,3.9,67.4
2.6,6.9,4.8,0.4,2.6,97.0,83.2,2.1,62.6
4.1,6.9,2.5,0.8,1.5,78.5,63.6,4.8,72.3
5.2,7.1,1.2,0.2,0.0,89.6,81.1,5.5,76.3
6.0,9.0,1.0,0.8,1.3,69.8,71.1,6.4,75.6
4.4,7.4,1.0,0.7,1.5,70.9,66.1,4.9,57.0
4.0,5.0,2.7,0.0,1.7,83.1,73.9,3.4,61.0
4.7,6.5,2.5,0.1,0.1,80.4,54.1,4.6,56.0
3.2,5.1,1.0,0.0,1.5,93.4,64.6,3.0,50.2
7.6,6.7,2.1,0.6,0.9,94.4,74.2,6.4,89.4
2.1,5.0,0.9,1.3,1.7,95.3,67.1,3.7,59.3
4.8,6.1,3.2,0.0,1.9,89.8,80.8,4.6,64.1
7.5,5.5,2.4,0.1,1.8,90.1,66.0,5.6,68.8
4.5,7.4,2.0,0.7,2.5,74.7,71.2,4.8,60.6
4.2,7.0,1.0,0.3,3.0,96.2,68.8,4.7,66.0
4.0,7.3,2.1,0.3,0.7,95.0,54.7,4.4,60.2
4.2,6.9,2.0,1.1,1.2,74.0,73.9,5.3,56.0
6.6,5.6,2.9,0.6,2.0,88.7,73.2,5.0,75.9
1.2,7.5,2.7,0.1,1.4,80.6,50.7,2.6,43.9
6.8,8.9,3.5,0.0,0.0,99.8,45.3,5.2,62.0
2.4,7.4,1.9,1.9,1.4,77.2,65.5,4.8,46.9
4.1,6.6,0.3,1.4,2.4,85.7,82.3,6.0,80.1
3.9,5.6,3.7,0.6,0.5,86.5,95.0,2.7,62.3
5.4,6.1,1.4,0.8,1.7,84.6,51.8,5.2,68.9
2.1,7.5,1.2,0.6,0.2,100.0,86.3,4.4,67.5
5.2,8.1,2.4,1.1,2.1,98.5,81.6,6.9,79.2
7.5,7.3,2.9,0.4,1.7,71.9,64.2,5.3,76.2
2.5,7.8,1.9,0.5,1.1,88.9,88.8,3.6,66.9
4.8,7.7,1.9,1.0,1.2,84.9,74.7,5.1,71.4
3.5,7.5,2.0,1.5,0.5,91.7,67.7,5.1,66.4
5.1,6.3,4.2,1.2,2.2,86.7,52.2,4.0,54.9
4.5,7.2,2.5,1.4,0.9,78.5,71.0,4.5,65.8
3.5,6.2,1.3,0.6,1.9,76.7,70.4,3.4,66.3
5.2,7.0,1.4,0.5,0.8,81.8,92.4,5.9,83.7
7.2,7.3,2.2,0.0,3.0,84.0,60.5,6.1,65.8
4.2,8.7,2.8,0.8,2.6,86.6,61.1,4.3,62.1
5.6,5.7,3.1,1.0,3.0,80.4,64.9,4.0,65.7
2.6,7.5,2.6,0.6,3.0,98.6,95.0,3.2,70.5
3.1,8.5,1.5,0.4,1.1,89.3,58.5,4.5,65.0
5.2,7.8,2.0,1.4,0.9,92.0,83.1,5.1,77.5
6.7,7.8,3.4,1.1,2.9,83.9,54.4,5.3,61.1
5.0,7.6,1.1,1.5,1.4,76.7,74.3,7.1,74.1
4.0,8.3,1.9,0.3,2.1,92.1,71.0,5.0,63.1
4.5,5.9,3.2,0.4,1.1,77.1,63.0,3.4,50.1
2.6,5.6,3.6,1.4,1.1,68.8,77.2,2.7,56.1
5.4,7.0,2.3,0.8,2.1,89.5,62.0,5.2,66.1
5.8,4.8,2.0,0.5,0.1,79.0,53.8,4.1,72.5
3.8,8.2,0.9,0.6,2.0,82.3,66.9,4.3,61.1
3.8,8.2,3.1,0.8,1.9,90.6,60.8,4.0,54.3
4.9,6.6,4.1,1.3,1.1,77.6,72.6,3.8,62.7
3.8,6.6,5.6,0.7,1.5,72.2,67.1,2.3,45.9
4.4,6.9,3.0,1.2,1.6,94.8,85.6,3.4,68.7
7.6,7.1,2.4,1.0,1.7,84.5,66.8,7.7,79.7
4.1,7.1,1.4,0.4,2.0,95.1,72.8,5.9,69.4
4.0,7.6,0.2,0.4,0.9,90.0,58.4,5.6,65.0
3.5,6.8,2.7,0.6,3.4,90.2,65.7,3.7,53.2
5.6,7.9,5.3,0.1,1.4,86.3,60.9,3.6,62.8
4.2,7.4,4.0,0.5,1.4,86.3,81.8,4.0,63.8
3.5,6.4,3.8,1.6,2.9,94.1,62.4,3.2,55.6
6.5,8.3,2.8,0.8,0.2,91.5,63.5,6.7,79.1
6.6,5.6,2.9,0.4,2.9,80.3,73.0,5.4,74.5
3.6,6.9,0.0,1.8,1.6,88.9,62.9,5.0,77.6
1.7,8.0,3.4,0.3,1.1,80.0,84.1,2.3,52.1
6.0,6.3,1.8,0.3,0.7,82.5,89.6,5.8,69.2
3.5,7.3,1.7,1.4,0.6,89.5,61.0,5.0,59.4
5.7,7.5,2.1,1.1,1.3,79.9,78.5,5.2,67.4
1.5,6.1,2.1,0.7,1.7,86.2,61.6,2.3,49.5
5.8,6.9,1.6,1.2,1.9,88.0,66.4,5.7,71.4
2.7,6.8,2.5,1.0,1.7,82.3,76.9,3.4,58.9
5.6,6.4,1.8,0.2,1.1,90.8,71.4,5.0,69.2
4.5,9.0,2.6,0.0,2.4,81.5,71.7,5.5,67.1
3.1,6.2,0.7,0.5,3.4,92.5,81.0,4.2,64.6
3.9,8.0,2.2,1.3,2.5,86.0,80.9,4.9,65.4
5.5,6.6,1.2,0.6,1.2,86.4,70.5,5.2,73.8
4.7,5.9,1.7,1.0,1.9,77.8,63.7,4.7,65.4
5.4,7.1,2.7,0.9,1.9,83.1,70.0,5.0,74.9
7.5,7.6,0.6,0.0,2.6,86.6,59.9,7.0,87.8
2.2,7.9,1.5,0.6,1.3,93.2,77.9,3.3,64.2
6.9,8.6,3.2,1.0,0.8,82.4,68.1,6.9,78.4
4.7,9.0,0.8,0.4,2.3,93.2,58.9,7.0,70.7
3.2,7.3,4.6,0.6,1.8,79.0,83.4,2.8,56.6
2.5,6.3,3.9,1.0,0.7,87.7,69.9,3.1,57.4
4.2,7.5,1.9,0.8,2.0,80.9,62.5,4.9,68.2
5.9,6.7,1.6,1.3,2.8,97.4,81.4,5.1,79.2
4.3,7.9,2.7,1.0,1.0,95.9,82.6,4.8,68.7
6.8,5.7,0.8,0.3,0.9,87.3,51.1,5.9,78.0
2.3,9.0,0.1,0.6,1.5,80.7,81.1,5.4,53.6
4.5,7.9,1.9,0.8,2.0,72.9,71.6,5.9,74.2
2.6,5.3,2.3,1.5,1.4,88.0,79.7,2.7,63.4
5.0,6.3,2.6,0.6,2.3,86.7,69.3,4.6,65.0
5.8,7.8,1.8,0.0,1.7,91.9,73.8,6.2,75.8
3.9,8.2,4.0,1.0,2.2,73.3,67.0,4.6,65.7
1.0,5.7,0.7,0.4,1.0,86.1,79.9,3.2,50.3
4.8,7.7,1.1,0.2,0.6,88.4,63.3,4.9,66.5
5.2,5.1,3.1,0.8,1.3,77.8,80.3,3.3,72.3
5.1,6.9,1.1,1.3,0.6,85.9,71.8,6.0,68.4
6.4,8.1,1.1,0.5,1.8,79.2,77.6,6.5,80.2
2.9,6.4,2.6,1.0,0.1,78.4,59.9,2.8,48.2
5.5,5.5,1.2,1.1,1.2,80.8,74.2,5.8,84.2
6.3,7.1,2.3,1.2,1.3,82.9,75.3,5.6,72.0
1.8,6.4,1.7,0.4,0.8,94.9,88.5,3.8,56.0
5.0,7.6,1.5,0.2,1.3,82.4,77.0,5.2,72.3
3.7,6.1,0.0,0.3,1.5,78.2,64.1,4.4,60.2
4.4,6.2,2.7,1.2,2.4,91.5,63.7,4.1,65.2
5.0,5.0,1.0,1.1,0.8,93.2,77.6,5.2,77.4
3.8,7.2,2.3,0.3,1.8,91.6,64.6,4.2,55.6
3.5,6.8,1.9,1.9,1.9,96.0,64.8,5.4,74.5
4.6,5.8,2.3,0.3,1.5,86.5,61.4,4.1,58.7
2.9,7.2,2.3,1.3,1.2,86.2,71.3,3.7,55.2
2.9,8.0,2.7,1.6,0.7,79.4,72.2,4.8,60.9
5.5,6.8,1.6,0.9,2.8,96.2,66.7,5.8,82.7
2.8,7.3,4.0,0.4,1.6,84.3,87.0,2.5,48.7
5.5,7.3,0.3,0.4,1.3,82.6,75.7,6.3,75.5
5.2,5.8,2.2,0.7,3.0,81.9,87.6,4.6,76.8
1.9,9.0,3.5,1.3,1.7,90.1,71.3,3.3,49.0
3.5,6.5,3.1,0.2,3.3,85.7,62.7,3.3,55.3
6.3,7.7,1.3,0.0,0.5,86.5,60.1,5.5,70.8
3.0,7.8,1.5,1.0,1.3,82.4,68.8,4.3,61.9
3.8,6.9,1.3,1.1,0.5,83.4,77.5,4.9,60.9
5.2,7.6,3.2,1.8,1.4,83.8,67.0,4.8,66.4
5.7,7.2,1.6,0.1,1.4,96.4,78.6,5.1,79.4
4.1,5.6,2.8,0.7,1.2,70.6,84.0,3.5,63.8
3.6,6.7,2.8,1.4,1.5,88.6,61.9,3.6,54.1
6.6,6.4,5.3,0.9,1.2,93.7,59.0,3.5,69.6
7.1,6.5,2.9,0.7,1.4,70.3,79.5,5.0,62.6
6.0,5.7,1.5,1.2,1.0,84.4,72.7,5.7,71.6
4.6,8.1,0.7,0.5,2.5,92.9,73.3,5.8,86.7
3.3,8.6,2.2,1.2,0.7,79.0,77.0,4.9,62.3
3.3,8.0,2.4,0.2,1.6,87.1,54.7,3.9,60.2
5.3,8.3,0.0,0.0,0.7,77.5,74.4,5.7,75.5
5.1,6.7,1.6,0.7,0.9,85.3,71.8,4.7,77.9
6.6,6.4,2.9,0.0,1.0,95.2,74.6,4.9,74.9
5.5,6.2,1.9,0.8,1.4,98.6,60.5,5.3,72.6
2.2,7.6,3.7,0.0,1.6,87.0,70.8,1.7,52.2
6.1,7.2,0.6,0.9,0.7,74.8,65.2,5.3,79.3
3.0,6.9,3.3,0.9,1.2,82.5,80.4,3.9,49.2
3.9,8.3,3.6,0.8,0.8,70.5,69.1,4.4,58.5
4.9,7.4,3.6,1.0,0.8,82.6,64.0,3.9,55.2
7.5,6.2,0.6,0.9,2.3,92.7,60.1,6.8,82.9
9.2,6.3,2.9,0.7,0.5,74.1,78.7,6.6,82.2
5.4,7.7,1.7,1.7,1.6,83.3,79.8,6.1,64.4
4.2,8.0,0.8,1.0,2.7,78.5,89.2,5.4,78.3
5.3,7.6,2.0,1.2,2.3,99.3,66.8,5.0,65.3
5.8,8.9,1.4,1.3,1.8,88.2,59.9,7.0,74.7
4.0,8.6,3.6,1.1,1.5,91.8,68.7,5.3,63.2
7.2,7.4,3.1,1.8,2.0,87.3,63.0,6.5,72.1
4.8,6.2,1.1,0.9,1.8,91.1,63.7,5.1,72.6
5.2,5.7,1.6,0.8,2.5,93.6,74.7,4.7,71.0
5.5,6.6,2.0,0.5,1.4,85.3,80.9,4.7,68.9
5.1,7.8,2.4,0.7,2.2,80.8,74.1,5.0,60.7
5.8,8.8,3.7,0.4,1.3,77.5,71.1,5.5,62.5
3.6,7.4,3.3,1.1,2.8,99.1,78.2,4.4,67.1
3.7,8.2,2.6,0.3,1.4,91.6,67.7,4.9,53.2
2.8,6.8,2.2,0.8,0.4,67.2,84.5,3.7,65.3
5.2,7.6,0.4,1.1,1.6,83.0,95.0,6.4,81.8
5.7,7.8,4.1,0.9,2.0,88.3,63.7,4.8,60.6
5.2,5.0,2.0,0.4,2.6,98.4,82.1,4.5,77.7
7.0,6.6,4.4,1.1,0.8,76.2,82.1,5.0,70.0
4.5,7.9,2.7,0.8,0.3,88.4,75.3,4.8,71.3
5.5,7.3,4.9,0.0,1.8,81.8,82.9,3.3,57.7
2.9,5.8,3.2,0.3,1.8,75.4,73.5,2.1,44.7
3.9,4.6,0.8,1.5,0.5,95.8,76.5,3.9,71.8
5.5,6.6,1.8,1.5,1.3,77.3,70.8,5.7,76.6
5.8,6.9,2.3,1.1,1.3,92.8,71.4,5.3,74.3
4.1,6.1,1.5,1.2,2.1,72.2,76.4,5.8,67.9
4.4,7.1,2.0,0.4,1.2,81.1,74.2,4.8,61.6
2.2,7.5,0.9,0.7,1.2,89.6,59.5,4.9,56.0
4.0,7.7,2.5,1.4,1.6,90.7,75.1,5.4,64.2
5.8,4.6,2.8,1.0,0.5,88.5,67.5,4.5,74.9
5.4,5.7,1.3,0.8,2.8,92.9,64.4,5.1,78.4
5.3,6.7,4.8,0.7,2.2,82.7,79.7,3.2,63.8
4.6,7.6,2.6,1.4,1.0,96.1,60.7,4.6,74.6
4.5,7.5,1.5,1.4,0.7,87.9,67.3,5.8,72.4
3.5,7.5,0.5,1.1,0.8,90.9,59.3,5.3,70.9
5.5,6.6,2.6,0.8,1.9,87.9,66.0,4.6,66.5
5.1,6.7,2.2,0.6,0.8,88.9,93.9,4.7,75.1
5.2,6.3,3.4,1.1,1.3,77.0,62.4,4.4,59.7
3.7,7.8,2.3,0.2,0.3,77.5,68.5,4.3,54.2
1.3,6.1,1.1,0.4,1.9,80.7,83.9,2.6,52.1
6.1,7.9,4.5,0.1,1.9,89.1,74.4,4.6,70.2
3.8,7.2,3.0,1.4,1.4,80.3,68.6,2.9,52.0
3.2,7.0,2.2,0.4,1.6,82.6,63.1,3.7,58.6
5.5,6.3,2.7,1.0,2.1,84.4,76.7,4.3,65.1
3.9,5.6,3.1,0.7,1.6,96.3,66.8,3.5,56.4
6.1,6.4,0.8,2.2,2.0,89.8,91.7,6.5,86.1
5.4,6.7,2.7,1.0,0.7,73.3,67.2,5.3,55.0
5.5,4.6,2.0,0.0,1.8,86.3,86.9,4.6,79.9
2.5,6.8,3.1,1.4,1.6,82.6,78.8,3.9,60.0
6.3,7.9,1.6,0.6,2.3,83.2,78.7,5.3,80.7
4.9,7.6,1.8,0.7,1.5,85.0,68.4,5.2,72.1
3.9,6.5,4.5,0.5,1.4,94.0,65.4,1.8,52.0
4.7,7.0,4.0,0.9,1.1,78.5,67.4,4.2,60.0
1.8,6.4,0.0,0.9,2.5,86.6,80.5,3.9,63.8
5.1,7.1,3.9,0.5,0.0,87.3,75.2,3.9,57.0
3.0,8.5,2.4,0.5,1.9,83.2,51.3,4.3,53.4
2.5,8.0,1.7,0.9,1.5,79.9,57.1,3.6,49.5
2.2,7.5,1.3,0.0,1.4,79.0,68.6,4.6,66.3
6.2,6.5,1.4,0.1,1.3,81.6,75.4,5.5,74.7
3.6,7.7,1.7,1.6,1.5,90.9,67.7,4.9,63.8
6.8,5.3,1.1,1.0,1.8,82.1,65.0,5.9,70.1
3.7,6.7,0.9,0.5,0.9,84.2,60.2,5.1,61.1
1.9,7.6,1.3,0.0,1.6,75.7,79.1,3.0,43.8
2.8,7.7,2.9,0.8,1.7,81.2,71.0,4.0,65.0
6.4,7.7,2.6,1.3,0.8,86.8,86.8,5.7,82.1
4.3,7.3,3.2,2.1,1.9,71.7,57.0,4.3,52.5
3.7,6.8,2.4,1.7,1.8,93.4,76.9,4.7,68.7
4.7,7.5,0.9,0.4,0.9,80.3,75.5,5.4,66.0
5.3,6.0,3.1,0.6,0.7,99.1,78.5,4.5,70.8
6.2,6.2,1.3,0.1,0.9,88.4,78.3,5.9,73.7
6.7,7.1,3.3,0.4,1.6,70.3,64.9,5.1,59.0
4.0,7.2,1.1,0.7,1.4,87.2,68.2,5.0,70.3
2.5,5.2,1.7,0.6,2.5,82.5,71.7,2.7,53.7
3.9,7.5,2.1,1.8,1.2,87.3,60.0,4.8,52.7
4.9,7.8,3.3,0.1,0.9,97.9,80.3,4.7,66.6
3.1,6.9,2.7,0.8,2.0,90.6,45.3,3.0,55.5
3.1,9.0,2.5,0.0,0.8,83.2,58.4,4.4,51.4
5.0,6.3,4.8,1.0,0.9,73.8,53.2,3.6,54.6
4.4,6.6,0.3,0.1,1.0,92.0,81.0,4.5,69.7
4.5,6.6,1.3,1.4,0.0,89.1,72.2,4.8,70.5
3.4,6.9,1.2,0.7,1.9,94.3,64.7,4.0,65.0
4.2,6.7,0.4,0.1,2.2,83.9,71.0,4.8,64.7
3.1,5.6,1.6,0.0,2.1,87.4,72.6,2.8,57.6
5.8,6.5,3.3,0.3,2.8,83.0,57.6,5.0,65.8
6.1,6.9,1.8,0.9,2.6,85.7,71.5,6.3,73.4
1.7,8.2,2.1,1.0,1.3,72.9,83.9,3.2,52.2
3.1,9.0,0.4,0.6,2.3,87.5,85.6,4.8,65.0
2.3,8.3,1.5,1.3,1.4,88.1,78.5,4.3,61.6
3.5,6.2,1.9,0.2,1.2,81.0,72.6,4.4,66.8
4.4,6.3,3.3,0.0,1.0,89.9,79.2,4.6,60.7
2.3,6.8,0.5,0.9,1.3,92.0,77.1,3.8,59.3
3.1,8.8,2.0,1.4,1.7,96.2,58.8,3.7,47.7
3.0,6.8,3.8,1.4,2.6,76.8,60.9,2.3,48.7
4.8,5.7,2.0,0.2,2.0,90.4,76.3,3.3,58.7
4.6,6.5,0.0,0.5,1.0,95.7,63.3,5.7,75.9
3.4,7.8,4.0,1.2,0.8,82.2,59.7,3.5,54.0
4.8,7.7,3.4,0.5,1.9,96.2,82.9,4.5,74.6
3.7,6.8,3.5,0.9,2.1,79.2,70.6,4.0,58.6
4.1,7.7,0.4,0.4,2.4,85.6,69.4,6.3,63.8
7.0,4.7,4.3,0.3,1.3,71.2,58.0,4.4,61.5
6.5,7.1,1.6,0.4,1.8,70.1,65.5,6.4,73.9
2.6,7.9,1.9,1.3,2.1,72.6,66.6,3.4,54.4
5.7,6.2,1.7,0.8,0.6,96.3,60.9,5.1,74.7
5.7,6.2,3.6,1.4,1.7,78.8,57.8,5.2,60.7
2.8,5.1,2.3,1.1,2.1,78.8,87.5,2.6,57.1
5.7,8.6,3.1,1.6,1.9,88.3,84.1,6.4,76.6
6.8,6.3,2.6,1.2,1.4,79.1,69.0,5.7,67.1
2.8,7.2,2.4,1.2,3.3,94.6,56.7,4.1,51.3
3.1,7.6,1.4,0.7,2.9,99.9,52.7,4.0,58.7
6.0,8.5,4.7,2.3,1.5,67.2,65.5,5.8,58.4
4.9,6.8,0.7,0.9,1.4,89.2,47.5,5.2,58.0
5.3,6.5,3.0,0.0,2.0,68.5,65.5,4.4,52.8
5.0,7.2,3.0,0.9,1.5,74.1,49.8,4.7,60.2
5.1,8.3,3.9,0.3,2.4,88.8,69.1,5.1,67.5
2.5,6.8,4.2,1.3,0.6,77.5,72.0,3.0,49.6
6.1,6.0,2.3,1.2,1.3,87.1,68.1,4.4,68.1
6.3,5.5,3.1,0.7,2.0,85.2,91.7,4.2,72.0
4.2,5.8,4.6,0.4,2.2,71.8,67.9,2.3,39.3
4.4,7.9,2.4,0.9,0.5,90.3,87.3,5.2,75.4
2.2,6.7,1.2,0.5,0.8,87.4,73.0,3.3,55.2
5.3,6.4,2.0,1.2,0.3,85.3,90.1,4.5,77.1
5.4,6.3,0.9,1.1,0.9,79.8,52.4,4.9,60.1
4.4,7.1,2.9,2.3,0.6,88.1,59.2,5.0,70.2
6.2,6.8,3.8,0.6,1.9,74.6,67.1,3.7,63.0
4.0,6.7,2.4,0.6,1.7,76.9,86.0,4.6,65.3
5.3,8.3,0.6,0.7,1.4,87.6,67.6,5.8,69.3
3.0,8.5,3.7,0.7,1.5,93.2,63.2,3.3,54.4
4.5,5.4,0.4,1.3,2.3,81.2,76.1,4.5,72.2
4.2,7.3,0.6,0.7,0.8,88.7,79.1,4.9,60.4
4.8,6.2,2.3,1.8,0.1,86.6,62.3,4.7,63.7
3.9,6.8,2.8,1.1,2.0,88.3,63.1,3.9,58.4
4.3,7.3,3.0,0.6,1.2,79.5,86.9,3.4,65.7
5.7,6.8,2.4,0.4,0.8,83.8,82.5,4.9,64.7
3.8,7.2,4.6,1.3,1.9,84.7,85.2,3.3,63.3
2.1,7.7,2.6,0.8,0.1,97.0,79.4,3.5,62.7
7.1,7.3,3.7,0.8,0.9,76.2,61.5,4.5,70.2
6.6,6.4,3.4,0.5,0.0,73.8,69.7,4.7,63.8
2.6,6.4,0.9,0.8,1.7,100.0,59.4,2.8,62.5
5.5,5.6,2.3,0.5,2.6,87.5,79.8,4.3,67.2
3.7,6.1,5.0,1.5,1.1,89.4,64.6,2.4,40.2
4.9,9.0,1.9,1.2,0.9,90.1,52.9,6.2,68.9
4.9,6.2,1.7,0.7,2.7,91.2,71.1,5.3,71.0
4.1,5.8,2.7,0.7,1.9,92.2,81.3,3.2,70.5
3.3,7.3,1.9,0.8,3.2,91.2,56.2,4.4,53.1
3.5,6.9,1.5,0.8,1.6,94.0,68.7,4.6,63.0
3.1,6.8,1.9,0.3,1.7,86.3,64.5,3.4,54.2
3.3,8.4,4.2,0.0,2.5,93.6,79.9,3.6,63.3
4.4,7.5,2.3,0.4,1.4,100.0,49.5,4.7,56.9
3.4,6.5,0.9,0.7,1.7,86.6,81.3,4.3,73.3
5.5,6.6,0.7,0.4,0.0,88.8,62.9,5.8,69.9
6.7,6.5,5.1,1.2,2.7,80.4,68.4,3.6,60.7
3.6,7.9,2.2,0.7,1.8,83.7,78.6,4.5,64.2
4.9,6.7,3.0,1.7,1.4,87.8,84.8,4.2,63.7
5.2,5.2,1.6,0.5,2.1,81.9,70.5,4.6,70.3
5.2,7.0,2.9,0.9,0.7,85.7,62.8,4.5,65.3
4.6,5.5,4.3,0.7,1.1,87.7,64.7,3.2,53.8
5.6,9.0,1.7,1.0,1.9,97.2,81.7,7.0,84.0
5.2,6.0,3.1,1.3,1.5,78.1,61.2,4.5,62.8
2.6,6.8,0.8,1.1,1.8,88.4,73.3,4.7,66.4
5.8,7.3,4.9,0.0,1.7,80.2,70.1,3.4,65.6
5.8,6.7,2.8,1.0,1.9,91.1,77.6,5.8,77.4
3.4,6.7,2.0,0.3,0.6,91.8,70.3,3.3,62.4
4.6,7.4,2.1,0.6,2.4,98.4,65.7,4.2,60.9
5.5,8.5,1.9,1.1,1.2,81.6,65.0,6.0,62.7
4.2,7.8,1.9,0.2,1.5,86.2,64.8,4.5,60.2
6.1,8.5,0.0,1.4,1.1,91.4,56.2,6.7,79.4
8.0,6.0,2.4,0.6,1.3,90.3,75.1,5.6,84.7
3.3,7.3,2.3,1.9,1.7,65.1,72.1,2.5,38.5
2.4,7.2,3.1,0.8,2.0,79.5,55.3,2.4,45.3
5.0,7.4,1.9,1.7,2.1,89.6,65.9,5.1,74.3
5.6,8.4,1.6,1.4,1.8,83.3,67.2,7.1,86.4
4.2,6.8,2.5,0.5,1.1,91.5,64.1,4.5,70.0
6.7,6.6,0.6,0.1,1.8,93.3,68.8,6.6,80.0
2.5,7.5,2.7,0.9,1.7,83.3,68.9,4.5,53.3
5.5,5.2,0.3,0.5,1.5,89.8,78.9,4.5,78.8
3.6,6.8,3.8,1.6,1.9,96.6,70.0,3.4,62.5
7.1,6.9,3.3,0.7,0.6,93.1,75.9,6.6,86.2
7.5,6.1,1.4,0.6,0.1,78.8,56.1,6.2,78.4
3.4,8.1,3.3,0.1,2.3,83.5,59.4,3.2,45.7
3.7,5.9,2.6,1.0,1.4,85.2,56.3,4.0,48.8
5.8,6.9,1.3,0.2,1.8,77.5,66.0,5.4,77.6
3.9,7.3,0.1,1.0,0.9,93.6,70.6,6.2,72.7
4.4,8.4,2.9,1.1,2.4,79.8,86.7,5.3,64.1
4.5,7.0,1.5,0.4,1.7,84.2,61.7,4.8,58.6
1.6,7.9,3.8,1.3,1.4,93.6,78.5,3.1,50.1
4.5,7.7,2.5,0.7,1.7,81.4,61.7,4.6,68.9
3.5,7.1,1.7,0.1,0.3,82.3,70.2,4.2,59.7
3.8,5.9,4.7,1.6,1.8,87.7,68.5,3.1,57.6
6.7,5.6,3.2,0.3,2.5,81.7,60.8,4.5,68.7
2.6,7.1,0.0,1.1,1.7,97.3,61.5,5.5,65.3
5.7,6.5,1.9,1.0,1.6,77.7,86.0,5.4,65.0
4.1,7.9,0.8,1.0,1.3,66.6,64.7,5.6,67.0
4.1,7.7,1.5,1.0,2.3,91.7,80.0,4.4,65.5
5.7,6.8,2.3,0.3,2.4,82.1,76.8,4.7,62.4
5.0,5.8,2.9,1.6,1.2,78.5,63.9,4.5,52.4
5.4,7.5,2.8,1.3,1.8,88.1,70.0,5.6,73.1
6.0,6.0,3.8,1.0,1.7,88.4,71.2,5.1,73.4
4.0,6.2,3.3,0.1,1.8,78.9,74.9,2.8,45.2
3.6,6.0,3.2,0.3,1.0,94.5,65.9,2.6,53.6
2.9,6.9,2.7,1.1,2.3,91.9,54.9,2.8,52.9
3.3,8.2,4.0,0.0,1.9,100.0,63.0,3.4,56.6
8.9,7.0,2.1,1.0,2.3,81.3,81.7,8.1,89.5
